Trimestre,Nome,Data,Freguesia,Concelho,Distrito,Descrição
3º trimestre,Festa de Nossa Senhora da Encarnação,15-06-2024,Leiria,,,"Procissão solene desde a Igreja de Santo Agostinho até ao santuário da Senhora da Encarnação, no alto de um monte fronteiro ao Castelo de Leiria."
3º trimestre,Senhora da Boa Viagem,15-06-2024,Ericeira,Mafra,Lisboa,"Procissão no mar no sábado à noite: Procissão pelas ruas da vila no domingo à tarde, com destaque para o andor transportado pelos pescadores."
3º trimestre,Senhora do Bom Sucesso,15-06-2024,Lagoa de Óbidos,Óbidos,Leiria,"Círio do Vau, com o canto das loas pelo anjinho montado num cavalo."
3º trimestre,Romaria de S. Mamede,17-06-2024,Janas,Sintra,Lisboa,"bênção de gado com três voltas à capela, outrora rebanhos, hoje sobretudo cães de companhia e cavalos. Destaque para a arquitectura regional, em redondo, da capela."
3º trimestre,Festa de Nossa Senhora dos Navegantes,Agosto (data variável),Cascais,Cascais,Lisboa,"Procissão dos pescadores que leva a imagem às traineiras engalanadas (que vão até à Guia e voltam) e bênção do mar: Artesanato, gastronomia, fogo-de-artifício."
3º trimestre,Festas da São José:enhora da Nazaré,08-06-2024,Nazaré,,,"José: Durante a invasão muçulmana, teria sido escondida na Pederneira, onde mais tarde foi encontrada pelos pastores: O milagre protagonizado por D: Fuas Roupinho ficou consagrada na capelinha da Memória, no Sítio, no alto da falésia, perto da qual foi erigido o santuário: Durante todo o mês, é notável o concurso de muitoscírios, de variadas proveniências, de que se destacam o Círio da Prata Grande (giro que inclui povoações dos concelhos de Mafra, Sintra e Torres Vedras), o Círio de Penela e o Círio de Olhalvo, sucessivamente a cargo de vários lugares da freguesia"
3º trimestre,Senhora da Ajuda,primeiro domingo de Setembro,Gaeiras,Óbidos,Leiria,
3º trimestre,Festa de Nossa Senhora da Saúde,08-06-2024,Vila Fresca de Azeitão,Setúbal,Setúbal,"No sábado à tarde, cavalhadas à moda antiga, com competição para os cavaleiros acertarem numa roseta pendurada em fio que atravessa a rua: Procissão solene."
3º trimestre,Festa das Vindimas,princípio de Setembro,Palmela,Palmela,Setúbal,largadas de touros; provas do vinho; arruadas; cortejo alegórico.
3º trimestre,Festa da Senhora do Fetal,primeiro domingo de Outubro,Reguengo do Fetal,Batalha,Leiria,Procissão nocturna à luz de milhares de lamparinas em cascas de caracóis: Procissão das oferendas armadas em tabuleiros.
3º trimestre,Romaria dos pescadores à Senhora do Cabo Espichel,último domingo de Setembro,Sesimbra,Sesimbra,Setúbal,Procissão com bênção do mar: Santuário barroco situado na imponente falésia do Espichel: Círios do giro à Senhora do Cabo.
3º trimestre,Bom Jesus do Carvalhal,segundo domingo de Setembro,Carvalhal,Bombarral,Leiria,"Visita de círios, com os anjinhos a cantarem as loas e os gaiteiros tocando à frente da procissão de cada localidade"
4º trimestre,Feira das Mercês,segunda quinzena de Outubro,Mercês,Sintra,Lisboa,missa solene e procissão. Feira característica da região saloia
4º trimestre,Círios a Nossa Senhora dos Remédios,terceiro domingo de Outubro,Peniche,,,provenientes de várias localidades: com o canto das loas e seus gaiteiros
4º trimestre,Santo André,30-06-2024,Arelho,Óbidos,Leiria,
4º trimestre,celebração de Todos os Santos,01-06-2024,Alfarim,Sesimbra,Setúbal,
4º trimestre,Feira dos Santos,01-06-2024,Livramento,Mafra,Lisboa,
4º trimestre,Festa de São Martinho,11-06-2024,São Martinho do Porto,Alcobaça,Leiria,
4º trimestre,Senhora da Conceição,08-06-2024,Atouguia da Baleia,Peniche,Leiria,
4º trimestre,círio da Carrasqueira ao Bom Jesus do Carvalhal,primeiro domingo de Dezembro,Carvalhal,Bombarral,Leiria,
4º trimestre,círio de Atouguia da Baleia ao Bom Jesus do Carvalhal,terceiro domingo de Dezembro,Carvalhal,Bombarral,Leiria,
