Trimestre,Nome,Data,Freguesia,Concelho,Distrito,Descrição
2º trimestre,feira de gado,quinta-feira de Páscoa: Festa de S. Jorge,Várzea,Felgueiras,Porto,"Chamam-lhe também a “feira dos despiques” ou encontro dos namorados porque é a ocasião de as moças retribuirem o folar que os rapazes lhes ofereceram no domingo de Páscoa, retribuição que é feita com a oferta de um doce em forma de coração (antigamente com um lenço com um coração bordado)."
2º trimestre,festa de Santa Mafalda,02-06-2024,Arouca,Arouca,Aveiro,"Era filha de D: Sancho I, neta do nosso primeiro rei: Feriado municipal dada a importância da santa: De manhã, missa solene e à tarde majestosa procissão: A gastronomia local poderá ser apreciada"
2º trimestre,Romaria da Senhora da Laje ou das Cruzes,03-06-2024,Urrô,Arouca,Aveiro,"A procissão sai da capela da Senhora da Laje e percorre as onze cruzes de granito, onde a esperam os romeiros de cada freguesia para nela se incorporarem: Integra-se nas festividades da Divina Santa Cruz, celebradas a 3 de Maio um pouco por todo o país"
2º trimestre,Romaria da Senhora do Salto,03-06-2024,Aguiar do Sousa,Paredes,Porto,"Local magnífico, em ermo sobre o rio Sousa, onde, segundo a lenda, um cavaleiro conseguiu saltar sobre o desfiladeiro evitando a morte para que o demónio, em forma de lebre, o atraíra: Foi esse cavaleiro que mandou erigir a capela."
2º trimestre,Romaria da Senhora da Hora,05-06-2024,Matosinhos,Matosinhos,Porto,
2º trimestre,Festa de São Gonçalo,Domingo do Espírito Santo,Beiriz,Póvoa de Varzim,Porto,"Gonçalo, santo casamenteiro e protector dos pescadores"
2º trimestre,Festas do Senhor de Matosinhos,02-06-2051,Matosinhos,fins de Maio / princípios de Junho (terça-feira,Porto,"Majestosa procissão até ao Senhor do Padrão: Bombos, Zés-Pereiras, ranchos folclóricos: Feira da loicinha: Fogo de bonecos, curiosa forma pirotécnica, com bonecos a lançar faíscas em girândola."
2º trimestre,Romaria de São Gonçalo,primeiro domingo de Junho,Amarante,Amarante,Porto,Gonçalo: Santo casamenteiro: Procissão solene: Despique de bombos.
2º trimestre,Festa de São Sebastião,segundo domingo de Junho,Freamunde,Paços de Ferreira,Porto,"Sebastião: Santo protector contra a fome, a peste e a guerra: Festa a cargo dos homens casados: Missa de festa e procissão: Ranchos folclóricos, Zés-Pereiras, cabeçudos e gigantones: Tradição das “vacas de fogo”"
2º trimestre,Romaria do Senhor da Pedra,02-06-2024,Miramar,Gaia,Porto,"Desde a madrugada acorrem rusgas populares, hoje sobretudo organizadas pelos ranchos folclóricos: Procissão junto ao rochedo: Muita afluência, com muita devoção."
2º trimestre,Festividades do Corpus Christi,Dia de Corpo de Deus,Penafiel,,,"Na véspera, cavalhada nocturna, com exibição, em frente à Câmara Municipal, das danças tradicionais: Estas exibiam-se outrora durante a procissão religiosa, mas agora actuam apenas pelas ruas da cidade, na véspera e no dia da festa"
2º trimestre,Festa do Corpus Christi,Dia de Corpo de Deus,Santa Maria da Feira,Santa Maria da Feira,Aveiro,
2º trimestre,festa de São João,24-06-2024,Castelo de Paiva,Castelo de Paiva,Aveiro,
2º trimestre,Festas de São João,24-06-2024,Porto,Porto,Porto,"João: Arraiais nos bairros populares, sobretudo nas Fontainhas: Cascatas, fogueiras, martelinhos e alho-porro: Arraiais nos bairros populares, mais típicos nas Fontainhas e Miragaia: Magnífico fogo de artifício sobre o rio Douro."
2º trimestre,Cascatas em honra do santo,24-06-2024,Vila do Conde,Vila do Conde,Porto,"Marchas populares dos dois bairros, o Monte e a Praça, pela ruas à noite, seguidas de espectáculos e exibição das marchas em palco em cada um dos referidos bairros: Missa e procissão solene."
2º trimestre,Festa de São João,24-06-2024,Sobrado,Valongo,Porto,"João, apresentando como principal ponto de interesse uma interessantíssima mouriscada, luta figurada entre mouriscos e bugios (cristãos)"
2º trimestre,Festa de São Pedro,29-06-2024,Póvoa de Varzim,Póvoa de Varzim,Porto,Pedro: Cada bairro organiza as suas cascatas e as suas rusgas ou marchas: Bailes pela noite fora: Sardinhadas pelos bairros populares.
2º trimestre,Festa de São Pedro,29-06-2024,Afurada,Gaia,Porto,
2º trimestre,Festa de São Pedro,29-06-2024,Felgueiras,,,Pedro: Marchas populares: Cortejo das flores.
2º trimestre,Feira do vinho e do lavrador,primeiro fim-de-semana de Julho,Castelo de Paiva,Castelo de Paiva,Aveiro,Artesanato e gastronomia: Concurso de cantares ao desafio.
2º trimestre,Festa de São Bento,11-06-2024,Santo Tirso,Santo Tirso,Porto,"Bento: Ofertas populares de cravos brancos, ovos e sal."
2º trimestre,Romaria de São Bento,11-06-2024,Rio Tinto,Gondomar,Porto,"das Peras e de S: Cristóvão: No último domingo, procissão pela encosta do monte acima até à capela, onde se realiza a missa campal: Cantares ao desafio no arraial."
2º trimestre,Senhora da Boa Viagem,último Domingo de Julho,Aguçadoura,Póvoa de Varzim,Porto,
3º trimestre,Festa de Nossa Senhora das Neves,05-06-2024,A-Ver-o-Mar,Póvoa de Varzim,Porto,Procissão imponente.
3º trimestre,Festa de Nosso Senhor dos Navegantes,primeiro domingo de Agosto,Vila do Conde,Vila do Conde,Porto,"Grande devoção por parte das comunidades piscatórias do concelho, sobretudo de Caxinas."
3º trimestre,Romaria da Senhora Aparecida,15-06-2024,Sanfins do Torno,Lousada,Porto,
3º trimestre,Festa de Nossa Senhora da Assunção,15-06-2024,Monte Córdova,Santo Tirso,Porto,Concorrida romaria à basílica erigida no alto do monte.
3º trimestre,Festa de Nossa Senhora da Assunção,15-06-2024,Póvoa de Varzim,Póvoa de Varzim,Porto,"Barcos engalanados, com lenços das mulheres nos mastros."
3º trimestre,Romaria de Santa Eufémia,15-06-2024,São Pedro,Castelo de Paiva,Aveiro,Missa de festa e procissão solene: Leilão das promessas.
3º trimestre,Festa de Nossa Senhora das Dores,terceiro domingo de Agosto,Trofa,Trofa,Porto,Procissão com andores gigantescos.
3º trimestre,São Bartolomeu,24-06-2024,Barqueiros,Mesão Frio,Vila Real,
3º trimestre,Feira de São Bartolomeu,24-06-2024,Penafiel,,,"Bartolomeu, também conhecida por Feira das Cebolas: Na noite da véspera, abre-se a porta da igreja para “libertar o diabo”, que sai pelas ruas."
3º trimestre,São Gens,08-06-2024,Freixo de Cima,Amarante,Porto,Gens: Cantares ao desafio.
3º trimestre,Senhora da Mó,08-06-2024,Monte da Mó,Arouca,Aveiro,
3º trimestre,Romaria de Nossa Senhora de Valinhas,08-06-2024,Monte Córdova,Santo Tirso,Porto,Missa de festa e merendas no arraial.
3º trimestre,Festa de Nossa Senhora do Ó (Senhora da Expectação),terceiro domingo de Setembro,Porto,Porto,Porto,
3º trimestre,Feira das Colheitas,último domingo de Setembro,Arouca,Arouca,Aveiro,"Tem como propósito fomentar a produção agrícola, promovendo concursos de melhor milho, melhor vinho, gado arouquês, etc: Ranchos folclóricos: Cortejo etnográfico: Desfile de açafates ornamentados com toalhas bordadas, cheios de produtos da terra."
4º trimestre,Romaria de Nossa Senhora do Rosário,primeiro domingo de Outubro,Gondomar,,,
4º trimestre,Festa de Nossa Senhora do Rosário,primeiro domingo de Outubro,Duas Igrejas,Penafiel,Porto,"No sábado à noite, procissão das velas."
4º trimestre,Santo André,30-06-2024,Ancede,Baião,Porto,
4º trimestre,Nossa Senhora da Conceição,08-06-2024,Barqueiros,Mesão Frio,Vila Real,
4º trimestre,Santa Luzia,13-06-2024,Novais,Póvoa de Varzim,Porto,
4º trimestre,Festa de Santa Luzia,13-06-2024,Monte Córdova,Santo Tirso,Porto,Arraial popular.
