Trimestre,Nome,Data,Freguesia,Concelho,Distrito,Descrição
3º trimestre,Romaria de São Tomé,25-07-2024,Ançã,Cantanhede,Coimbra,"(protector dos animais e das colheitas) e S: Tiago: Cortejo desde a casa do juiz da festa até à Capela de S: Bento: Seguem a cavalo o juiz e o anjo, um menino vestido de menina: Bênção do gado."
3º trimestre,Festas da Padroeira,28-07-2024,Pombal,Pombal,Leiria,
3º trimestre,Festa de Nossa Senhora de la Salette,04-08-2024,Oliveira de Azeméis,Oliveira de Azeméis,Aveiro,Procissão do Triunfo descendo do santuário em direcção à vila.
3º trimestre,Festa de Nossa Senhora da Boa Viagem,04-08-2024,Esmoriz,Esmoriz,Aveiro,Procissão com bênção do mar.
3º trimestre,Romaria do Divino Senhor da Serra,15-08-2024,Semide,Miranda do Corvo,Coimbra,
3º trimestre,Festa de Nossa Senhora da Saúde,15-08-2024,Fermentelos,Águeda,Aveiro,"Procissão das Velas, seguida de fogo-preso."
3º trimestre,Senhora do Pranto,15-08-2024,Dornes,Ferreira do Zêzere,Santarém,
3º trimestre,Senhora da Saúde,15-08-2024,Vale de Cambra,,,
3º trimestre,Senhora da Piedade,01-09-2024,Furadouro,Ovar,Aveiro,Festa dos pescadores.
3º trimestre,Festa do Senhor do Calvário,01-09-2024,Macieira de Cambra,Vale de Cambra,Aveiro,
3º trimestre,Romaria de São Paio,08-09-2024,Torreira,Murtosa,Aveiro,da Torreira: Rusgas e danças populares na noitada: Regata de moliceiros.
3º trimestre,Festa municipal,08-09-2024,Montemor-o-Velho,Montemor-o-Velho,Coimbra,Feira anual: Feira do cavalo.
3º trimestre,Festas de Nossa Senhora do Pranto,15-09-2024,Podentes,Penela,Coimbra,"Círio de Podentes à Senhora do Pranto, em Dores, Ferreira do Zêzere."
3º trimestre,Festas de São Mateus,21-09-2024,Soure,Soure,Coimbra,(romaria e feira franca): Grande romaria que reune no Monte de S: Mateus muito povo das redondezas: Feira da madeira e do artesanato: O dia 21 é feriado municipal: Piquenique popular no parque de merendas.
3º trimestre,Festa da Senhora do Rosário,06-10-2024,Aguada de Cima,Águeda,Aveiro,com bodo de tremoços
4º trimestre,Romaria de Nossa Senhora das Areias,06-10-2024,São Jacinto,Aveiro,Aveiro,"Povoação de pescadores, a festa foi apontada para a época em que haviam regressado da pesca do bacalhau na Terra Nova."
4º trimestre,São Martinho,11-11-2024,Mouquim,Albergaria-a-Velha,Aveiro,
4º trimestre,Senhora da Conceição,08-12-2024,Oiã,Oliveira do Bairro,Aveiro,
4º trimestre,Santa Luzia,13-12-2024,Veiros,Estarreja,Aveiro,
4º trimestre,Cortejo dos Reis Magos,22-12-2024,Fermelã,Estarreja,Aveiro,
