Trimestre,Nome,Data,Freguesia,Concelho,Distrito,Descrição
2º trimestre,Festa de São Pedro,07-07-2024,Alcains,Castelo Branco,Castelo Branco,"Pedro: O aspecto mais característico desta festa é a confecção e ingestão das tradicionais papas de carolo, feitas ao ar livre em caldeiras de latão."
3º trimestre,Romaria de Nossa Senhora das Preces,07-07-2024,Aldeia das Dez,Oliveira do Hospital,Coimbra,"Santuário no cimo do monte, em local d maravilha, onde, segundo a lenda, apareceu Nossa Senhora: Em redor do santuário, várias capinhas representando cenas  da via sacra, que os romeiros visitam nos dois dias da festa: Romaria muito concorrida: Missa campal."
3º trimestre,Romaria de Nossa Senhora das Dores,07-07-2024,Paúl,Covilhã,Castelo Branco,"Procissão desde a igreja até ao santuário, onde é dita a missa: À tarde, cortejo alegórico."
3º trimestre,capeia raiana,08-06-2024,Sabugal,várias aldeias do concelho,Guarda,forma peculiar de lidar toiros
3º trimestre,Senhora do Carmo,15-08-2024,Teixoso,Covilhã,Castelo Branco,
3º trimestre,Festa de Santa Margarida,15-08-2024,Aldeia de Santa Margarida,Idanha-a-Nova,Castelo Branco,"Missa e procissão com os andores da santa festejada, de S: Sebastião e de Santo António: Arruadas de bombos, garraiadas"
3º trimestre,Senhor do Calvário,18-08-2024,Proença-a-Velha,Idanha-a-Nova,Castelo Branco,"procissão, fogo preso"
3º trimestre,Festa de Nossa Senhora do Loreto,25-08-2024,Alcafozes,Idanha-a-Nova,Castelo Branco,"Garraiada à vara larga: Procissão das velas, missa campal."
3º trimestre,Senhora da Confiança,08-09-2024,Pedrógão Pequeno,Sertã,Castelo Branco,
3º trimestre,Senhora da Azenha,08-09-2024,Monsanto,Idanha-a-Nova,Castelo Branco,
3º trimestre,Romaria de Santa Luzia,15-09-2024,Castelejo,Fundão,Castelo Branco,"Na véspera, procissão de velas nocturna desde a Igreja do Castelejo até ao santuário, seguida de arraial, este animado por grupos de concertinas e de adufes: No dia da festa, o anúncio musical da alvorada tem lugar no Fundão, no largo da Câmara Municipal, com as entidades locais: Missa campal e procissão solene ao redor do arraial: Seguidamente, chegam os tractores das freguesias, cada um trazendo o seu grupo de romeiros, que irrompem pelo arraial cantando e recebendo os aplausos dos conterrâneos que os esperam junto à fonte, em delírio: Passando a fonte, chegam à capela e descem dos carros: Formam-se então os grupos de bombos que, à vez, irrompem pelo arraial: com estrondo e galhardia: O povo abre alas e aplaude, contagiado pelo frenesim percutivo: Merendas pelo arraial."
3º trimestre,Santa Eufémia,08-09-2024,Quadrazais,Sabugal,Guarda,
4º trimestre,Festa de Santa Bebiana,02-12-2024,Caria,Belmonte,Castelo Branco,"Cortejo pelas ruas anunciando a festa e celebrando a santa e o S: Martinho, com animação musical a cargo de acordeão e de pífaros: Sermão e eleição da mulher mais bêbeda da terra."
